car_reg,purchase_date,county,make,model,type,colour,tax_band,price
181-D-3117,2018-Apr-15,Dublin,opel,crossland x : suv,,<colour>Silver</colour>,A,23894
192-G-1942,2019-Jul-14,,Ford,Mondeo,Saloon,Blue,B,40062
XXX-X-3159,2020-02-19,Waterford,Opel : Grandland X (SUV),,,white,b,38630
XXX-X-1419,2020-04-25,Dublin,Mazda : CX-30 (SUV),,,blue,b,30203
192-d-3297,24 Nov,DUBLIN,Audi : A6,,Saloon,SILVER,3,82800
201-D-4377,2020-Jan-05,Dublin,mazda,cx-5 : suv,,<colour>White</colour>,B,42691
191-D-1289,2019-Jan-09,,BMW,X3,SUV,White,C,59885
202-d-4677,18 Jul,DUBLIN,Mazda : CX-5,,SUV,SILVER,2,37830
182-W-2668,2018-Nov-25,,ford,FIESTA,Hatchback,#FFA500,A,28738
XXX-X-2652,2020-05-13,Cork,Mazda : Mazda3 (Saloon),,,white,b,30072
201-w-3124,18 Jan,WATERFORD,Toyota : Corolla,,Hatchback,WHITE,2,28549
201-g-2691,07 Apr,GALWAY,BMW : 3 Series,,Saloon,BLUE,2,71587
XXX-X-2249,2020-05-22,Cork,Mazda : Mazda3 (Saloon),,,white,b,31959
191-D-1058,2019-Jan-11,,Opel,Corsa,Hatchback,Blue,A,22225
181-D-2596,2018-Jan-27,,toyota,PRIUS,Hatchback,#FF0000,B,34741
191-D-4515,2019-Feb-24,Dublin,opel,astra : estate,,<colour>Blue</colour>,B,28075
191-G-2170,2019-Feb-08,Galway,ford,fiesta : hatchback,,<colour>White</colour>,A,24147
202-W-804,2020-Jul-24,Waterford,toyota,rav4 : suv,,<colour>Red</colour>,B,42838
201-D-2860,2020-Jan-21,,Toyota,Rav4,SUV,White,B,47538
181-w-1014,07 Feb,WATERFORD,Toyota : Prius,,Hatchback,WHITE,2,34363
191-d-478,24 Feb,DUBLIN,BMW : 3 Series,,Estate,WHITE,2,53124
181-c-2486,23 Feb,CORK,Opel : Corsa,,Hatchback,BLUE,1,18659
182-c-4821,25 Jul,CORK,Opel : Grandland X,,SUV,SILVER,2,38470
192-C-71,2019-Jul-23,,Mercedes,A-Class,Hatchback,Orange,B,54555
XXX-X-3179,2019-06-05,Cork,Ford : Fiesta (Hatchback),,,red,a,24133
201-D-3878,2020-Mar-15,,ford,FOCUS,Hatchback,#C0C0C0,A,30795
192-L-1679,2019-Jul-05,,audi,Q3,SUV,#FFA500,B,44996
192-D-4135,2019-Jul-24,,Opel,Astra,Estate,Blue,B,28544
201-l-4221,06 Jan,LIMERICK,Mazda : CX-30,,SUV,WHITE,2,37745
XXX-X-51,2020-02-09,Dublin,Ford : Focus (Estate),,,red,a,39089
192-d-55,01 Jul,DUBLIN,Toyota : Camery,,Saloon,WHITE,2,39299
181-C-95,2018-Jan-17,,Opel,Grandland X,SUV,Blue,B,45242
191-W-3700,2019-Feb-02,,audi,A4,Saloon,#FFA500,B,54867
XXX-X-4102,2018-01-27,Dublin,Audi : A6 (Estate),,,orange,c,64456
XXX-X-784,2020-01-17,Dublin,Opel : Crossland X (SUV),,,white,a,27577
192-d-443,23 Jul,DUBLIN,Toyota : Camery,,Saloon,WHITE,2,40274
191-G-1795,2019-Feb-08,,opel,ASTRA,Hatchback,#FFFFFF,A,31328
191-L-1343,2019-Jan-13,,ford,FOCUS,Hatchback,#FFFFFF,A,39616
192-d-794,22 Aug,DUBLIN,Opel : Grandland X,,SUV,BLUE,2,40501
191-L-4540,2019-Jan-19,,Ford,Kuga,SUV,White,B,46845
XXX-X-3044,2019-03-12,Dublin,Ford : Fiesta (Hatchback),,,blue,a,28282
182-G-303,2018-Jul-26,Galway,ford,kuga : suv,,<colour>White</colour>,B,44704
191-c-3887,13 Jan,CORK,Ford : Mondeo,,Hatchback,BLUE,2,35056
181-D-4777,2018-Feb-10,Dublin,mazda,cx-5 : suv,,<colour>White</colour>,B,39106
181-c-463,25 Jun,CORK,BMW : 3 Series,,Saloon,BLUE,2,47298
181-d-1872,14 Jan,DUBLIN,Mazda : Mazda3,,Hatchback,SILVER,2,31840
202-d-69,20 Aug,DUBLIN,Mazda : Mazda3,,Hatchback,BLUE,2,36963
181-D-1432,2018-Mar-03,,Audi,A4,Estate,White,B,50059
XXX-X-2316,2018-01-02,Dublin,BMW : 3 Series (Saloon),,,white,b,40127
192-W-1218,2019-Jul-18,,Toyota,Yaris,Hatchback,Silver,A,19740
181-C-227,2018-Mar-26,,ford,MONDEO,Saloon,#FFA500,B,40257
201-D-697,2020-Feb-22,,mercedes,GLC-CLASS,SUV,#FF0000,C,114055
181-c-1780,03 Jun,CORK,Toyota : Camery,,Saloon,WHITE,2,41651
181-W-4831,2018-Feb-15,,ford,KUGA,SUV,#FFFFFF,B,34961
202-D-616,2020-Jul-25,,opel,INSIGNIA,Hatchback,#FFA500,B,32296
XXX-X-3464,2018-02-13,Dublin,Mazda : CX-30 (SUV),,,red,b,35942
201-d-641,19 Feb,DUBLIN,Ford : Mondeo,,Saloon,WHITE,2,40237
XXX-X-1655,2020-01-22,Limerick,Audi : A6 (Saloon),,,silver,c,78064
192-D-4497,2019-Jul-16,,opel,GRANDLAND X,SUV,#FFFFFF,B,29186
191-c-2111,16 Feb,CORK,Toyota : Yaris,,Hatchback,WHITE,1,16941
182-W-4901,2018-Aug-10,,Mercedes,A-Class,Saloon,White,B,55883
182-c-4608,09 Jul,CORK,Mazda : CX-30,,SUV,WHITE,2,41481
XXX-X-4177,2020-01-09,Limerick,Opel : Grandland X (SUV),,,white,b,36160
201-D-3628,2020-Jan-09,,Opel,Astra,Hatchback,Silver,A,24424
192-L-1042,2019-Jul-07,,Toyota,Camery,Saloon,Red,B,41584
192-l-723,24 Jul,LIMERICK,Opel : Insignia,,Hatchback,ORANGE,2,29514
XXX-X-3996,2020-01-20,Limerick,Ford : Mondeo (Saloon),,,red,b,36985
192-W-3880,2019-Jul-25,,toyota,PRIUS,Hatchback,#C0C0C0,B,36061
191-L-97,2019-Feb-11,,opel,CORSA,Hatchback,#FFFFFF,A,22203
191-D-93,2019-Apr-26,Dublin,mercedes,c-class : saloon,,<colour>Silver</colour>,B,100233
201-C-3323,2020-Jan-17,,Audi,A4,Saloon,Red,B,48442
201-c-3349,22 Mar,CORK,BMW : 3 Series,,Saloon,BLUE,2,70417
XXX-X-324,2019-02-13,Cork,Toyota : Corolla (Saloon),,,orange,b,31467
XXX-X-2879,2019-01-15,Dublin,BMW : 3 Series (Saloon),,,blue,b,48550
181-D-3698,2018-Jan-22,,mercedes,A-CLASS,Hatchback,#FFA500,B,60851
201-d-3213,04 Feb,DUBLIN,Audi : A6,,Saloon,RED,3,72264
181-D-1467,2018-Jan-09,,BMW,3 Series,Saloon,Red,B,64242
XXX-X-502,2019-01-08,Cork,Toyota : Prius (Hatchback),,,blue,b,34838
191-D-2815,2019-Feb-13,,Audi,A6,Saloon,Blue,C,50117
201-D-2890,2020-Feb-01,Dublin,toyota,rav4 : suv,,<colour>Silver</colour>,B,43745
191-C-430,2019-Jan-14,Cork,mazda,cx-30 : suv,,<colour>Blue</colour>,B,30454
182-C-962,2018-Sep-11,,Opel,Crossland X,SUV,Blue,A,24326
XXX-X-3198,2020-04-05,Dublin,BMW : 2 series (Coupe),,,white,b,92350
191-c-3991,13 May,CORK,Mercedes : GLC-Class,,SUV,RED,3,131081
181-g-774,07 Apr,GALWAY,Mazda : CX-30,,SUV,RED,2,36042
191-D-2032,2019-Feb-16,,ford,MONDEO,Saloon,#0000FF,B,36060
181-g-1676,01 Jan,GALWAY,Audi : A4,,Estate,BLUE,2,48114
XXX-X-1573,2019-02-22,Dublin,Opel : Corsa (Hatchback),,,red,a,20324
191-C-4907,2019-Feb-14,,bmw,X3,SUV,#FFFFFF,C,113744
181-D-4908,2018-Apr-11,Dublin,opel,astra : estate,,<colour>Silver</colour>,B,29982
XXX-X-2692,2020-01-18,Waterford,Ford : Mondeo (Hatchback),,,blue,b,39656
191-d-2168,23 Jun,DUBLIN,Mazda : Mazda3,,Hatchback,RED,2,32063
201-W-4307,2020-Mar-16,,opel,ASTRA,Hatchback,#0000FF,A,32553
XXX-X-3390,2019-02-03,Cork,Mercedes : C-Class (Saloon),,,red,b,107053
192-D-1749,2019-Jul-10,,toyota,RAV4,SUV,#FF0000,B,38721
192-G-3628,2019-Oct-25,,toyota,CAMERY,Saloon,#FFFFFF,B,41880
182-d-297,07 Nov,DUBLIN,Mazda : Mazda3,,Saloon,WHITE,2,34632
202-L-2256,2020-Jul-12,,Mazda,Mazda3,Saloon,Blue,B,35402
191-d-2023,02 Feb,DUBLIN,Toyota : Rav4,,SUV,RED,2,38760
201-W-718,2020-Mar-23,,Mazda,Mazda6,Estate,Silver,B,37230
XXX-X-409,2020-01-13,Dublin,Audi : A6 (Saloon),,,silver,c,64949
XXX-X-791,2019-01-20,Dublin,BMW : 3 Series (Estate),,,white,b,74956
191-c-3915,12 Jan,CORK,Ford : Focus,,Hatchback,BLUE,1,26411
181-W-1480,2018-Feb-03,Waterford,mazda,mazda3 : hatchback,,<colour>Blue</colour>,B,35246
192-g-1638,08 Jul,GALWAY,BMW : 2 series,,Coupe,BLUE,2,108480
182-W-4720,2018-Jul-05,,mercedes,C-CLASS,Estate,#0000FF,B,91049
181-G-1372,2018-Jan-07,,Ford,Mustang,Coupe,Blue,C,54319
XXX-X-3329,2020-07-15,Galway,Toyota : Camery (Saloon),,,white,b,42587
XXX-X-1349,2020-03-17,Limerick,Audi : A4 (Saloon),,,silver,b,56822
181-G-1184,2018-Mar-21,Galway,ford,focus : hatchback,,<colour>Silver</colour>,A,42726
191-d-4019,13 Jan,DUBLIN,Ford : Focus,,Hatchback,SILVER,1,33596
XXX-X-1768,2018-01-20,Galway,Toyota : Corolla (Hatchback),,,red,b,33912
XXX-X-166,2018-02-03,Limerick,Ford : Mondeo (Hatchback),,,white,b,37926
181-C-2279,2018-Jan-03,,Mazda,Mazda6,Saloon,White,B,37993
XXX-X-2120,2019-11-04,Dublin,Toyota : Rav4 (SUV),,,silver,b,46516
XXX-X-2151,2018-01-01,Dublin,Mercedes : A-Class (Hatchback),,,white,b,36566
201-g-384,10 Jan,GALWAY,Toyota : Camery,,Saloon,WHITE,2,39582
201-d-2507,12 Jan,DUBLIN,BMW : 2 series,,Coupe,ORANGE,2,72811
182-W-1132,2018-Aug-20,,toyota,COROLLA,Saloon,#0000FF,B,29930
181-L-3905,2018-Jan-02,,Mercedes,GLC-Class,SUV,Red,C,135829
181-D-1523,2018-Jan-20,Dublin,mazda,mazda3 : hatchback,,<colour>White</colour>,B,29942
201-w-593,03 May,WATERFORD,Toyota : Yaris,,Hatchback,ORANGE,1,15102
201-W-2439,2020-Mar-27,,Audi,A6,Saloon,White,C,55716
191-D-1902,2019-Feb-27,Dublin,toyota,rav4 : suv,,<colour>Orange</colour>,B,36689
XXX-X-73,2019-07-14,Galway,Mazda : Mazda3 (Hatchback),,,white,b,36854
XXX-X-1512,2019-02-14,Galway,Opel : Corsa (Hatchback),,,silver,a,19612
201-W-4546,2020-Feb-06,,Toyota,Corolla,Saloon,White,B,30177
XXX-X-2225,2020-07-06,Limerick,Toyota : Rav4 (SUV),,,blue,b,43385
191-W-4884,2019-Jun-08,,BMW,3 Series,Estate,Orange,B,64314
201-D-4951,2020-Apr-07,,Toyota,Corolla,Saloon,White,B,28958
191-D-4275,2019-Jan-05,,Audi,A4,Saloon,White,B,51225
191-C-3438,2019-Jan-24,,Mazda,CX-30,SUV,Red,B,37018
181-w-3612,12 Mar,WATERFORD,Ford : Focus,,Hatchback,WHITE,1,35621
191-d-1777,03 Mar,DUBLIN,Mercedes : AMG-GT,,Hatchback,BLUE,4,208892
191-d-1234,18 Mar,DUBLIN,Opel : Corsa,,Hatchback,WHITE,1,22499
191-L-3927,2019-Feb-24,Limerick,ford,focus : hatchback,,<colour>White</colour>,A,33404
201-D-4583,2020-Jan-14,Dublin,mercedes,amg-gt : hatchback,,<colour>Red</colour>,D,213417
191-W-1353,2019-Feb-19,,mercedes,A-CLASS,Hatchback,#FFFFFF,B,32591
181-G-1599,2018-Feb-06,,BMW,3 Series,Saloon,Blue,B,71455
181-C-4560,2018-Jun-21,,Opel,Grandland X,SUV,Blue,B,33812
201-g-4905,02 Jan,GALWAY,Ford : Mondeo,,Saloon,RED,2,35691
192-C-428,2019-Jul-01,,audi,A6,Saloon,#FF0000,C,62429
201-d-3700,18 Mar,DUBLIN,Mercedes : C-Class,,Saloon,WHITE,2,116496
181-C-3556,2018-Jan-20,,Opel,Astra,Estate,White,B,25052
191-d-471,23 Mar,DUBLIN,Audi : A4,,Saloon,BLUE,2,48282
182-l-2970,03 Jul,LIMERICK,Toyota : Corolla,,Saloon,RED,2,30447
191-G-4119,2019-Feb-07,Galway,ford,mondeo : saloon,,<colour>White</colour>,B,39257
181-D-4164,2018-Jan-13,Dublin,mercedes,c-class : estate,,<colour>Blue</colour>,B,96048
XXX-X-1763,2020-07-07,Dublin,Mercedes : C-Class (Estate),,,white,b,77509
191-d-4731,24 Mar,DUBLIN,Mercedes : A-Class,,Hatchback,BLUE,2,59849
XXX-X-112,2018-01-23,Galway,Audi : A4 (Estate),,,white,b,47773
XXX-X-1129,2018-01-27,Dublin,Opel : Corsa (Hatchback),,,red,a,17483
XXX-X-4618,2020-02-15,Dublin,Audi : A4 (Estate),,,blue,b,42499
XXX-X-1717,2020-02-13,Dublin,Opel : Insignia (Hatchback),,,white,b,31263
192-D-3663,2019-Jul-25,,Toyota,Prius,Hatchback,Blue,B,35228
181-l-3598,15 Jan,LIMERICK,Ford : Mondeo,,Saloon,ORANGE,2,36781
XXX-X-1953,2019-07-13,Dublin,Mercedes : GLC-Class (SUV),,,white,c,80150
XXX-X-2197,2018-04-15,Limerick,Opel : Insignia (Hatchback),,,white,b,36199
181-D-4143,2018-Jan-01,,bmw,2 SERIES,Coupe,#FF0000,B,96731
181-L-232,2018-Mar-10,Limerick,opel,crossland x : suv,,<colour>White</colour>,A,26117
192-D-3397,2019-Jul-17,,Mazda,Mazda3,Saloon,Blue,B,30931
XXX-X-1355,2020-02-13,Galway,Audi : A6 (Saloon),,,white,c,58991
XXX-X-1757,2018-01-21,Cork,Opel : Corsa (Hatchback),,,silver,a,17620
182-g-3905,26 Jul,GALWAY,Mazda : CX-5,,SUV,WHITE,2,42011
XXX-X-3882,2020-01-10,Waterford,Ford : Focus (Hatchback),,,blue,a,44888
182-L-2529,2018-Jul-11,,Audi,A4,Estate,Orange,B,46857
191-G-4363,2019-Feb-14,Galway,bmw,2 series : coupe,,<colour>Red</colour>,B,104007
181-g-3379,03 Jan,GALWAY,Toyota : Camery,,Saloon,BLUE,2,42627
201-D-1357,2020-May-22,Dublin,toyota,prius : hatchback,,<colour>Blue</colour>,B,36141
181-G-1447,2018-Jan-02,,Ford,Focus,Estate,White,A,27654
181-C-2089,2018-Jan-03,,opel,CORSA,Hatchback,#FFFFFF,A,21465
XXX-X-2552,2019-03-18,Dublin,BMW : 7 Series (Saloon),,,silver,d,202149
181-D-2480,2018-Apr-25,Dublin,mercedes,c-class : estate,,<colour>Silver</colour>,B,85553
191-l-3388,15 Jan,LIMERICK,Audi : A4,,Saloon,RED,2,53458
182-D-3745,2018-Aug-07,Dublin,mercedes,a-class : saloon,,<colour>White</colour>,B,58311
191-D-1585,2019-Jan-06,Dublin,mazda,mazda3 : saloon,,<colour>Blue</colour>,B,34226
XXX-X-3730,2020-01-17,Waterford,Opel : Insignia (Hatchback),,,silver,b,28539
181-g-947,10 Mar,GALWAY,Mazda : Mazda3,,Hatchback,ORANGE,2,36907
202-D-1898,2020-Oct-21,,Ford,Mondeo,Hatchback,White,B,31441
191-D-3258,2019-Mar-22,Dublin,audi,a4 : estate,,<colour>Silver</colour>,B,47794
201-L-3417,2020-Jan-27,,Mazda,Mazda3,Saloon,White,B,37325
191-l-804,09 Mar,LIMERICK,Mazda : Mazda3,,Hatchback,RED,2,34666
XXX-X-4794,2019-03-26,Galway,Ford : Focus (Estate),,,red,a,43117
201-c-961,19 Jan,CORK,Mazda : CX-30,,SUV,ORANGE,2,32737
192-W-2698,2019-Aug-10,Waterford,mercedes,a-class : saloon,,<colour>White</colour>,B,36029
181-d-4314,09 Jan,DUBLIN,BMW : 3 Series,,Hatchback,RED,3,67883
192-D-1242,2019-Jul-05,,ford,FOCUS,Hatchback,#FF0000,A,24231
191-D-2268,2019-May-25,Dublin,mercedes,a-class : saloon,,<colour>Silver</colour>,B,59299
XXX-X-1615,2020-07-08,Galway,Mercedes : C-Class (Estate),,,red,b,100463
XXX-X-1939,2019-10-10,Cork,BMW : 5 Series (Estate),,,blue,c,72311
XXX-X-4520,2019-01-20,Dublin,Ford : Kuga (SUV),,,red,b,38303
181-D-358,2018-Jan-10,,Toyota,Yaris,Hatchback,Blue,A,15438
181-C-3491,2018-Feb-04,,bmw,3 SERIES,Estate,#0000FF,B,64996
191-D-653,2019-Feb-14,,Mercedes,A-Class,Saloon,White,B,46008
191-W-1912,2019-Jan-14,Waterford,opel,insignia : hatchback,,<colour>Orange</colour>,B,38339
181-d-3598,15 Mar,DUBLIN,BMW : 3 Series,,Estate,RED,2,45974
181-d-2071,02 Feb,DUBLIN,Mazda : Mazda6,,Saloon,WHITE,2,39338
191-G-3766,2019-Feb-02,,bmw,2 SERIES,Coupe,#FFFFFF,B,107176
XXX-X-299,2018-01-13,Cork,Opel : Grandland X (SUV),,,blue,b,49395
XXX-X-981,2020-03-16,Cork,Opel : Astra (Hatchback),,,blue,a,30224
201-D-3432,2020-Feb-01,,Ford,Mondeo,Hatchback,White,B,31865
192-C-2246,2019-Sep-17,Cork,ford,mondeo : hatchback,,<colour>Red</colour>,B,36147
191-W-862,2019-Jan-03,Waterford,ford,mustang : coupe,,<colour>White</colour>,C,58931
181-L-3416,2018-Apr-10,,audi,A6,Estate,#FFFFFF,C,55748
201-L-2886,2020-Mar-07,,Mercedes,A-Class,Hatchback,Silver,B,61412
192-L-4705,2019-Oct-07,Limerick,ford,fiesta : hatchback,,<colour>White</colour>,A,20719
182-d-1075,24 Jul,DUBLIN,Toyota : Rav4,,SUV,WHITE,2,48717
201-c-3388,12 Feb,CORK,Ford : Fiesta,,Hatchback,SILVER,1,27886
181-D-2966,2018-Mar-08,,BMW,3 Series,Estate,White,B,53030
XXX-X-3206,2018-01-25,Dublin,Ford : Mondeo (Hatchback),,,silver,b,36614
XXX-X-4875,2020-01-20,Limerick,Ford : Focus (Hatchback),,,orange,a,24430
202-D-368,2020-Jul-22,Dublin,mazda,mazda3 : saloon,,<colour>White</colour>,B,36414
191-C-4503,2019-Jan-19,,ford,FOCUS,Hatchback,#0000FF,A,43977
XXX-X-3420,2018-07-07,Cork,Opel : Crossland X (SUV),,,white,a,22811
191-D-991,2019-Jan-12,,Audi,Q3,SUV,White,B,49366
191-C-1761,2019-Jan-19,Cork,ford,kuga : suv,,<colour>White</colour>,B,47630
XXX-X-984,2020-02-22,Galway,Mazda : Mazda6 (Saloon),,,white,b,41156
181-D-1672,2018-Feb-08,,Mercedes,C-Class,Estate,Orange,B,97430
XXX-X-122,2018-01-15,Limerick,BMW : 3 Series (Saloon),,,white,b,40575
XXX-X-1327,2019-06-12,Waterford,Toyota : Camery (Saloon),,,white,b,40714
192-D-3603,2019-Jul-17,,mercedes,C-CLASS,Saloon,#FF0000,B,102750
181-c-3984,07 Feb,CORK,BMW : 2 series,,Coupe,WHITE,2,104484
XXX-X-1302,2018-01-06,Dublin,Opel : Astra (Hatchback),,,white,a,25584
XXX-X-2680,2018-04-16,Dublin,Opel : Crossland X (SUV),,,blue,a,26655
202-w-3680,18 Jul,WATERFORD,Mazda : CX-30,,SUV,WHITE,2,43946
201-d-170,17 Jan,DUBLIN,Mercedes : A-Class,,Hatchback,BLUE,2,54861
201-l-2111,10 Jan,LIMERICK,Audi : A6,,Estate,BLUE,3,77489
182-D-1719,2018-Jul-11,,toyota,COROLLA,Saloon,#C0C0C0,B,30671
201-D-2830,2020-Jan-08,Dublin,mercedes,glc-class : suv,,<colour>Blue</colour>,C,110221
202-D-4364,2020-Sep-11,,Mercedes,A-Class,Saloon,Red,B,53582
191-W-3143,2019-Feb-02,,Toyota,Corolla,Hatchback,White,B,27165
XXX-X-4590,2019-01-13,Dublin,Opel : Crossland X (SUV),,,red,a,24999
XXX-X-2500,2019-01-21,Limerick,Opel : Insignia (Hatchback),,,red,b,35765
202-L-739,2020-Oct-08,,Toyota,Prius,Hatchback,White,B,34903
XXX-X-1946,2018-03-01,Dublin,Ford : Kuga (SUV),,,white,b,44838
192-l-3818,14 Jul,LIMERICK,Opel : Corsa,,Hatchback,WHITE,1,23935
XXX-X-2456,2020-02-14,Dublin,Toyota : Corolla (Saloon),,,blue,b,30942
192-d-4398,05 Aug,DUBLIN,Mazda : Mazda6,,Estate,BLUE,2,42649
191-d-1860,24 Jan,DUBLIN,Toyota : Camery,,Saloon,ORANGE,2,42020
201-g-3585,04 Feb,GALWAY,Audi : A4,,Estate,RED,2,53494
202-D-3496,2020-Nov-16,,Mazda,Mazda6,Saloon,Blue,B,45968
XXX-X-4943,2019-03-19,Cork,Ford : Focus (Estate),,,white,a,25014
181-w-3956,18 Jan,WATERFORD,Toyota : Yaris,,Hatchback,WHITE,1,15870
201-D-4384,2020-Feb-15,,Opel,Grandland X,SUV,White,B,32591
201-D-2385,2020-Feb-09,,Ford,Mondeo,Hatchback,White,B,34967
181-d-3904,08 Feb,DUBLIN,Opel : Crossland X,,SUV,WHITE,1,27589
181-D-310,2018-Jan-13,,Opel,Astra,Hatchback,Silver,A,25320
XXX-X-4117,2019-02-16,Limerick,Mazda : Mazda3 (Saloon),,,white,b,33436
192-c-2079,10 Jul,CORK,Mazda : Mazda3,,Saloon,WHITE,2,35243
181-C-3072,2018-Mar-23,,Mazda,Mazda6,Estate,Blue,B,35090
XXX-X-3038,2018-01-13,Dublin,Mazda : Mazda6 (Estate),,,white,b,38305
181-W-234,2018-Jan-03,,mazda,MAZDA3,Saloon,#0000FF,B,33405
191-C-877,2019-Apr-04,,audi,A6,Estate,#FFFFFF,C,63667
201-G-3782,2020-Mar-02,,Mazda,Mazda6,Estate,White,B,37731
201-d-1949,17 Jan,DUBLIN,Ford : Focus,,Estate,WHITE,1,38155
201-D-4628,2020-May-21,Dublin,opel,crossland x : suv,,<colour>Red</colour>,A,25746
201-G-1280,2020-Jan-11,Galway,toyota,prius : hatchback,,<colour>Blue</colour>,B,35885
201-D-2036,2020-Jan-19,,BMW,3 Series,Hatchback,White,C,53494
191-C-294,2019-Jan-19,,ford,FOCUS,Hatchback,#0000FF,A,25428
XXX-X-1879,2019-01-20,Dublin,Audi : Q3 (SUV),,,white,b,51892
201-D-4352,2020-Jan-26,,opel,ASTRA,Estate,#FFFFFF,B,25470
191-G-2736,2019-Jan-24,,Opel,Corsa,Hatchback,Red,A,17716
181-d-1213,16 Mar,DUBLIN,Opel : Astra,,Hatchback,SILVER,1,30456
XXX-X-4431,2018-02-22,Dublin,Mercedes : A-Class (Saloon),,,white,b,36872
181-g-3663,27 Feb,GALWAY,Audi : A4,,Estate,BLUE,2,40339
192-D-4489,2019-Jul-21,,Audi,Q3,SUV,White,B,41583
XXX-X-4645,2018-11-16,Dublin,Mazda : Mazda3 (Hatchback),,,white,b,29149
201-D-2833,2020-Jan-26,,Mercedes,C-Class,Saloon,White,B,113567
181-D-4107,2018-Jan-16,,Mazda,CX-5,SUV,White,B,44218
182-d-3158,15 Jul,DUBLIN,Mazda : Mazda3,,Hatchback,WHITE,2,30226
XXX-X-2644,2019-08-19,Dublin,Mazda : Mazda6 (Estate),,,red,b,40607
182-c-128,11 Sep,CORK,Audi : A6,,Estate,RED,3,92679
191-l-284,19 Feb,LIMERICK,Ford : Fiesta,,Hatchback,WHITE,1,25933
191-d-1856,20 Jan,DUBLIN,Toyota : Yaris,,Hatchback,WHITE,1,15060
181-G-20,2018-Jan-11,Galway,toyota,corolla : saloon,,<colour>Silver</colour>,B,30031
181-W-685,2018-Feb-18,,Audi,A6,Estate,Silver,C,55195
192-W-1869,2019-Jul-04,,Audi,Q3,SUV,Red,B,43902
181-G-362,2018-Jan-02,,Mazda,CX-30,SUV,Red,B,30162
XXX-X-3496,2019-01-07,Dublin,Toyota : Prius (Hatchback),,,red,b,36647
191-w-1448,15 Jan,WATERFORD,Audi : A4,,Saloon,SILVER,2,50720
201-D-3234,2020-Mar-25,,Toyota,Prius,Hatchback,Silver,B,36068
201-g-1945,13 Feb,GALWAY,Mazda : CX-30,,SUV,RED,2,41598
XXX-X-4455,2019-01-22,Limerick,Ford : Focus (Estate),,,blue,a,44749
XXX-X-4538,2019-03-10,Waterford,Opel : Astra (Estate),,,white,b,28882
192-d-1277,07 Jul,DUBLIN,Toyota : Prius,,Hatchback,WHITE,2,35244
XXX-X-1187,2020-06-26,Galway,Mazda : Mazda3 (Hatchback),,,white,b,34907
XXX-X-4835,2018-10-22,Dublin,Mercedes : C-Class (Estate),,,red,b,108798
201-L-211,2020-Jun-09,,Ford,Focus,Hatchback,Blue,A,28965
XXX-X-461,2019-01-25,Limerick,Mercedes : A-Class (Hatchback),,,white,b,46768
191-L-4180,2019-Feb-23,,Toyota,Yaris,Hatchback,Blue,A,18819
201-c-4609,23 Jan,CORK,Opel : Corsa,,Hatchback,RED,1,19259
181-D-1762,2018-Feb-18,Dublin,toyota,yaris : hatchback,,<colour>White</colour>,A,18912
201-d-2004,25 Jan,DUBLIN,Mercedes : AMG-GT,,Hatchback,BLUE,4,168224
XXX-X-2469,2018-07-18,Dublin,Toyota : Corolla (Saloon),,,silver,b,28410
201-c-3541,18 Mar,CORK,Audi : Q3,,SUV,WHITE,2,52329
181-W-4561,2018-Feb-18,Waterford,mazda,cx-5 : suv,,<colour>White</colour>,B,51921
XXX-X-4336,2019-01-17,Waterford,Audi : Q7 (SUV),,,orange,d,99534
201-g-1349,19 Feb,GALWAY,Mazda : CX-30,,SUV,SILVER,2,30917
192-C-3917,2019-Aug-16,Cork,toyota,camery : saloon,,<colour>Red</colour>,B,39089
XXX-X-10,2018-01-08,Limerick,Mercedes : C-Class (Saloon),,,orange,b,102750
191-D-3644,2019-Jan-10,,Mercedes,C-Class,Saloon,White,B,60948
XXX-X-492,2019-01-06,Waterford,Opel : Grandland X (SUV),,,blue,b,37215
181-g-3441,19 Jan,GALWAY,Audi : Q3,,SUV,RED,2,53086
181-G-4267,2018-Mar-02,Galway,mercedes,c-class : estate,,<colour>Red</colour>,B,44791
191-l-4294,10 Mar,LIMERICK,Toyota : Corolla,,Saloon,BLUE,2,28169
201-g-3548,21 Mar,GALWAY,Ford : Focus,,Estate,WHITE,1,37461
191-L-1086,2019-Jan-21,Limerick,ford,focus : estate,,<colour>White</colour>,A,35634
181-C-3274,2018-Feb-19,,Audi,Q7,SUV,White,D,86715
202-l-2475,10 Jul,LIMERICK,Opel : Astra,,Estate,SILVER,2,27767
181-D-643,2018-Feb-26,,Toyota,Rav4,SUV,Red,B,38988
201-g-3122,25 Mar,GALWAY,Mercedes : A-Class,,Hatchback,WHITE,2,39589
XXX-X-4454,2020-01-17,Limerick,Mercedes : A-Class (Hatchback),,,silver,b,46598
XXX-X-4201,2019-03-17,Limerick,Ford : Mondeo (Hatchback),,,white,b,34901
191-D-2889,2019-Jan-23,,Opel,Astra,Hatchback,White,A,29586
201-l-1013,09 Jan,LIMERICK,Ford : Kuga,,SUV,SILVER,2,46880
191-C-4839,2019-Feb-17,Cork,opel,astra : hatchback,,<colour>Red</colour>,A,29961
182-L-4505,2018-Sep-10,,bmw,3 SERIES,Estate,#FF0000,B,61910
201-L-1364,2020-Feb-02,,mazda,CX-5,SUV,#C0C0C0,B,36231
